filename,snr_pr,snr_noisy,lsd_pr,lsd_noisy,P808_MOS pr,SIG_raw pr,BAK_raw pr,OVRL pr,SIG pr,BAK pr,P808_MOS hr,SIG_raw hr,BAK_raw hr,OVRL hr,SIG hr,BAK hr,P808_MOS noisy,SIG_raw noisy,BAK_raw noisy,OVRL noisy,SIG noisy,BAK noisy
/VCTK-Corpus/wav48/p347/p347_197.wav,-6.539912819862366,-6.643850525581627,2.7818923,2.5349446353593934,3.9687676,4.0146017,3.9219024,3.2125707893734026,3.5530070383360313,3.888244225736515,3.9678993,4.0917473,4.204158,3.283709050453968,3.594537750239849,4.040779332606517,3.9750695,4.050433,3.86977,3.211230921497683,3.572436311769965,3.8563113535782443
/VCTK-Corpus/wav48/p347/p347_309.wav,-11.26876711845398,-11.344036898941464,3.3294146,3.4631391691837607,3.8507392,4.160176,4.0337434,3.3036213847769886,3.6307912758605716,3.951738926219359,3.8325331,4.04658,4.032967,3.2215312683563853,3.570344141956314,3.9511871457606387,3.836087,4.13543,3.8739974,3.252780199883274,3.6178475336950426,3.8604692730555636
/VCTK-Corpus/wav48/p347/p347_375.wav,-8.423360586166382,-8.712184063270481,3.191972,3.483488903555348,3.8341835,4.0958056,4.167203,3.2961448677139145,3.596866535932126,4.022917020872782,3.8444512,4.0305257,4.2224135,3.2393131630926177,3.5616523486355143,4.050036953392871,3.7947109,3.9725838,3.8530626,3.154345854997004,3.5299101469827208,3.8491554614936057
/VCTK-Corpus/wav48/p347/p347_062.wav,-0.7899653166532516,-0.9480774956909117,2.4999166,2.770389041340062,3.5178623,4.075957,4.415943,3.334436461925519,3.5862504030248794,4.141852509125845,3.5554707,4.0690074,4.423552,3.3123355763125297,3.5825147421162433,4.145492946212722,3.327809,4.0505066,4.201934,3.276130180554216,3.572543346223888,4.04036217144892
/VCTK-Corpus/wav48/p347/p347_403.wav,13.43294382095337,13.600120346573854,2.0095615,1.118285684355643,3.5214674,4.172826,4.1740975,3.3396506093354814,3.6374206497304398,4.026646267887622,3.5378425,4.0375676,4.0046296,3.223107962514259,3.565545800217695,3.9364433552142515,3.5367668,4.12385,4.000683,3.2698100170063267,3.6117501724783816,3.9342524787724518
/VCTK-Corpus/wav48/p347/p347_148.wav,3.4484827518463135,-2.862412759359236,5.3205814,7.309596705275212,2.5798619,3.512339,3.7065022,2.7924640845925537,3.2571617158126442,3.759360877989592,3.555191,3.7661564,4.2118993,3.0665498147262187,3.4120149665338815,4.045135789783082,2.3785026,1.1457695,1.1039788,1.1456275978631467,1.293772511720764,1.219939651954951
/VCTK-Corpus/wav48/p347/p347_199.wav,-10.619313716888428,-10.728289256644445,4.184498,5.183544678403596,3.5559602,4.093799,4.129589,3.3051081692277267,3.595758519567788,4.002409978556607,3.6045814,4.09538,4.360406,3.336132895898452,3.5965946315295314,4.1166309745387855,3.3128562,4.198732,3.4213893,3.1285325151673598,3.65066261780996,3.5678717756536784
/VCTK-Corpus/wav48/p347/p347_307.wav,-9.198100566864014,-9.271734123880318,3.1107523,3.42044016824593,3.8838005,4.1204987,4.226167,3.33234222964322,3.609917428425387,4.052470303456876,3.9158194,4.117678,4.303953,3.318902847378513,3.6084630784026195,4.0903812241359345,3.9019797,4.027718,3.9644012,3.2220797625409667,3.5600989552591336,3.9124860033611744
/VCTK-Corpus/wav48/p347/p347_010.wav,-14.404411315917969,-14.696719164869824,4.0671616,4.397098783548399,3.9113624,4.085118,3.9604611,3.234368589502157,3.5911440813595066,3.9072258368634936,3.9607112,4.135512,3.8351989,3.232089041433988,3.6178823277058947,3.8374320110902174,3.9563382,4.0602274,2.9824283,2.8801353126063622,3.5774256283428274,3.2292201168080474
/VCTK-Corpus/wav48/p347/p347_134.wav,11.971492767333984,12.10376177720612,1.9375769,1.120108948197614,3.8263834,4.1253924,4.1837897,3.3012076398293035,3.6124983810675264,4.0314481665216295,3.8487027,4.177751,4.207189,3.3222079362205315,3.6399036517144743,4.04321114182837,3.846769,4.190134,4.184904,3.327497697710673,3.6462795965021706,4.0320335428927345
/VCTK-Corpus/wav48/p347/p347_223.wav,-9.36255156993866,-9.48788426690764,5.501943,6.713439964612367,2.9385803,3.8316622,4.077896,3.1433773749589684,3.450230842746571,3.976369060731632,2.9991133,4.029128,4.169864,3.2254619850916884,3.5609592754651764,4.024485073763613,2.7942638,3.827198,4.0942173,3.12214636654108,3.4476518868684427,3.985070570420569
/VCTK-Corpus/wav48/p347/p347_133.wav,-2.8877830505371094,-3.6224083482269824,4.909389,6.834621142282098,2.7878652,3.9177103,3.699505,3.082145009726763,3.4992871530869043,3.75496738744822,3.244073,3.6865873,4.054699,3.0463756330601197,3.364707594580294,3.9638809674624955,2.469942,3.8754234,2.415761,2.5074453712046836,3.4753346662796014,2.7228821882866345
/VCTK-Corpus/wav48/p347/p347_224.wav,-8.227580785751343,-8.414480521954548,3.5536516,4.499186481794071,2.8504717,4.0728145,4.317132,3.3232028947086376,3.584498392081269,4.096812149325138,2.976217,4.0391536,4.124729,3.2218816735762292,3.5663857002204633,4.000908967949798,2.7734272,4.196509,3.7918136,3.2450270111798543,3.6495887299873035,3.8124203437068616
/VCTK-Corpus/wav48/p347/p347_289.wav,4.665589928627014,4.005288621224218,2.6010606,3.12621368201992,3.8113956,4.320047,4.3908353,3.457081434672619,3.711973435800415,4.13092660880872,3.8696706,4.2961297,4.4258504,3.450528767873141,3.7002372219459247,4.146506351104267,3.872387,4.289537,4.1728773,3.383071816512379,3.696866602499023,4.025751348434869
/VCTK-Corpus/wav48/p347/p347_258.wav,-6.139088869094849,-6.290491790948166,5.5512705,6.8246743014843805,2.9598193,4.2666526,4.4198365,3.4609380626372683,3.68535739847805,4.143866982362227,3.360677,4.3823915,4.541528,3.5382892570034095,3.7426863047547654,4.196046132522562,2.7722704,4.257088,4.385332,3.4459236355112077,3.6805904342223,4.1282496619191305
/VCTK-Corpus/wav48/p347/p347_300.wav,10.876259803771973,10.036596903289913,1.8826891,1.2856442159157193,3.405499,4.0525284,4.0341234,3.221636372391871,3.5736469304259457,3.952685640863277,3.3161862,4.0817685,4.0321856,3.231264657449743,3.58937168846737,3.9516254860555318,3.2911513,4.0361114,3.8619063,3.1672064512999225,3.564755239600129,3.854609061044332
/VCTK-Corpus/wav48/p347/p347_017.wav,-4.40371572971344,-4.564465697852161,3.320769,4.167367235825678,3.1898785,4.218011,4.529699,3.4493084984700664,3.6607127437302047,4.191120643743932,3.4301841,4.1568623,4.469719,3.3766600440038346,3.629069736381271,4.165810175047619,3.3691285,4.1611834,3.6371937,3.204414042535781,3.631138771615693,3.714001339170541
/VCTK-Corpus/wav48/p347/p347_211.wav,-0.8290180563926697,-0.9203389131590262,2.973621,3.478782461849766,3.5713952,4.1629357,4.283858,3.367402450076832,3.632231547836514,4.080263598795948,3.6036193,4.003558,4.3241906,3.2704596822419134,3.546842401114361,4.099589792889298,3.5647526,4.152253,3.9829726,3.28003321048196,3.626614243027159,3.923549781925623
/VCTK-Corpus/wav48/p347/p347_106.wav,-4.773048758506775,-4.8135917010579865,2.7140508,2.858062069909111,3.345608,4.0213404,4.062194,3.227930190753311,3.5567163836564046,3.967931322806903,3.3690727,4.036862,4.192344,3.2542600289738086,3.5651627308404144,4.0359074490218845,3.3540676,3.9932897,4.084546,3.212736977034162,3.5413494247318145,3.9799229084227123
/VCTK-Corpus/wav48/p347/p347_398.wav,-12.85707950592041,-13.2653847249859,4.1653314,4.778600495376623,3.441346,4.1057954,3.9478996,3.2472082084279847,3.601778386667847,3.904038701539376,3.4507606,4.064336,4.0250716,3.216458168344785,3.5800050424039314,3.947461827088183,3.3464289,4.1349187,3.170838,3.014640670560443,3.617553236003669,3.382334949391107
